yyyy-mm-ddTHH:MM:SSZ, OL_31.5, OL_63, OL_125, OL_250, OL_500, OL_1k, OL_2k, OL_4k, OL_8k, OL_16k, OL_32k, 
2018-11-08T00:00:02Z,111.075333,94.595768,88.152188,83.310373,86.314649,90.889473,100.778221,110.28255,112.37022,109.555803,106.281657, 
2018-11-08T01:00:02Z,108.697945,93.601319,89.087495,84.914063,86.959617,92.044774,102.826439,112.231038,114.693621,112.336922,109.423556, 
2018-11-08T02:00:02Z,106.372935,91.831187,88.708544,87.845208,87.190943,91.47233,102.779996,112.1146,114.758368,112.518684,109.717703, 
2018-11-08T03:00:02Z,106.038729,90.284252,86.790449,87.236942,88.677614,91.99671,101.719173,110.995498,113.85438,111.732592,108.976608, 
2018-11-08T04:00:02Z,105.413895,91.060092,87.655937,86.723017,88.701073,91.941765,101.808848,111.059735,114.021294,111.813486,108.944527, 
2018-11-08T05:00:02Z,107.924695,93.130719,88.914068,86.144904,88.615525,91.737024,101.845643,111.140041,114.157354,112.027272,109.171355, 
2018-11-08T06:00:02Z,109.094552,95.749878,89.368385,84.55081,86.359876,90.98283,101.988743,111.341362,114.351586,112.335409,109.398531, 
2018-11-08T07:00:02Z,114.968945,100.384942,93.382491,87.249446,87.366508,90.587724,101.699653,111.244269,114.243688,112.118732,109.244735, 
2018-11-08T08:00:02Z,114.246509,100.163261,93.476953,84.658641,84.001128,90.273665,101.667836,111.31121,114.392901,112.38535,109.545426, 
2018-11-08T09:00:02Z,112.005326,98.742843,92.085648,83.726094,83.925638,90.650307,102.126111,111.781687,114.440451,112.226329,109.358651, 
2018-11-08T10:00:02Z,111.976457,98.184577,91.63158,83.68125,83.791612,90.72647,102.51815,111.8668,114.607479,112.413379,109.601681, 
2018-11-08T11:00:02Z,111.198571,98.083938,92.852375,100.02305,95.967559,96.251951,102.979702,112.203664,114.797268,112.651996,109.731522, 
2018-11-08T12:00:02Z,108.489218,94.376055,88.772085,85.214153,85.434424,90.709378,103.271182,112.409411,115.208897,113.020305,110.182272, 
2018-11-08T13:00:02Z,106.4391,92.734611,90.823278,90.554906,93.955428,99.117309,104.917058,113.103987,115.83487,113.723254,110.787989, 
2018-11-08T14:00:02Z,109.428552,94.15414,90.051219,88.021612,90.043743,92.811448,103.315462,112.530488,114.953611,112.259442,109.055839, 
2018-11-08T15:00:02Z,109.091954,92.267004,87.817682,84.02146,86.07153,89.885298,101.637057,110.436782,112.650083,109.945769,106.711827, 
2018-11-08T16:00:02Z,114.092321,95.079478,91.315999,88.291962,87.949755,90.845004,100.600713,109.44759,111.760156,109.007867,105.79561, 
