yyyy-mm-ddTHH:MM:SSZ, BB_0.02-24k, 
2018-11-18T10:57:12.000Z,118.156563, 
2018-11-18T11:57:11.000Z,118.945854, 
2018-11-18T12:57:11.000Z,119.830002, 
2018-11-18T13:57:11.000Z,120.040733, 
2018-11-18T14:57:10.000Z,118.584465, 
2018-11-18T15:57:10.000Z,117.646606, 
2018-11-18T16:57:10.000Z,119.489769, 
2018-11-18T17:57:09.000Z,116.179489, 
2018-11-18T18:57:09.000Z,116.572197, 
2018-11-18T19:57:09.000Z,116.895264, 
2018-11-18T20:57:08.000Z,117.105888, 
2018-11-18T21:57:08.000Z,116.532494, 
2018-11-18T22:57:08.000Z,116.866821, 
2018-11-18T23:57:07.000Z,117.842247, 
2018-11-19T00:57:07.000Z,119.738655, 
2018-11-19T01:57:07.000Z,119.212494, 
2018-11-19T02:57:06.000Z,118.809166, 
2018-11-19T03:57:06.000Z,118.461349, 
2018-11-19T04:57:06.000Z,117.848885, 
2018-11-19T05:57:05.000Z,117.809219, 
2018-11-19T06:57:05.000Z,117.254051, 
2018-11-19T07:57:05.000Z,117.868011, 
2018-11-19T08:57:04.000Z,118.160271, 
2018-11-19T09:57:04.000Z,117.778206, 
2018-11-19T10:57:04.000Z,117.205666, 
2018-11-19T11:57:03.000Z,117.931137, 
2018-11-19T12:57:03.000Z,119.276878, 
2018-11-19T13:57:03.000Z,127.535332, 
2018-11-19T14:57:02.000Z,118.360855, 
2018-11-19T15:57:02.000Z,116.8125, 
2018-11-19T16:57:02.000Z,117.953316, 
2018-11-19T17:57:01.000Z,116.495735, 
2018-11-19T18:57:01.000Z,115.671761, 
2018-11-19T19:57:01.000Z,116.047577, 
2018-11-19T20:56:59.000Z,115.8283, 
2018-11-19T21:56:59.000Z,115.741341, 
2018-11-19T22:56:59.000Z,116.400711, 
2018-11-19T23:56:58.000Z,117.180855, 
2018-11-20T00:56:58.000Z,119.464516, 
2018-11-20T01:56:58.000Z,118.919586, 
2018-11-20T02:56:57.000Z,118.212517, 
2018-11-20T03:56:57.000Z,118.066925, 
2018-11-20T04:56:57.000Z,117.63488, 
2018-11-20T05:56:56.000Z,117.732582, 
2018-11-20T06:56:56.000Z,117.940781, 
2018-11-20T07:56:56.000Z,117.847412, 
2018-11-20T08:56:55.000Z,117.596466, 
2018-11-20T09:56:55.000Z,117.611893, 
2018-11-20T10:56:55.000Z,117.422592, 
2018-11-20T11:56:54.000Z,116.839783, 
2018-11-20T12:56:54.000Z,118.974174, 
2018-11-20T13:56:54.000Z,119.607117, 
2018-11-20T14:56:53.000Z,117.794029, 
2018-11-20T15:56:53.000Z,117.701149, 
2018-11-20T16:56:53.000Z,116.563957, 
2018-11-20T17:56:51.000Z,116.104546, 
2018-11-20T18:56:51.000Z,116.131805, 
2018-11-20T19:56:51.000Z,115.800995, 
2018-11-20T20:56:50.000Z,115.460121, 
2018-11-20T21:56:50.000Z,116.468895, 
2018-11-20T22:56:50.000Z,117.493103, 
2018-11-20T23:56:49.000Z,116.878944, 
2018-11-21T00:56:49.000Z,119.322754, 
2018-11-21T01:56:49.000Z,118.733299, 
2018-11-21T02:56:47.000Z,117.825203, 
2018-11-21T03:56:47.000Z,117.867836, 
2018-11-21T04:56:47.000Z,117.662476, 
2018-11-21T05:56:46.000Z,117.404808, 
2018-11-21T06:56:46.000Z,117.47879, 
2018-11-21T07:56:46.000Z,117.460915, 
2018-11-21T08:56:44.000Z,117.417496, 
2018-11-21T09:56:44.000Z,117.571175, 
2018-11-21T10:56:44.000Z,117.510422, 
2018-11-21T11:56:43.000Z,116.931519, 
2018-11-21T12:56:43.000Z,118.068527, 
2018-11-21T13:56:43.000Z,118.967979, 
2018-11-21T14:56:42.000Z,117.32515, 
2018-11-21T15:56:42.000Z,115.811516, 
2018-11-21T16:56:42.000Z,115.318306, 
2018-11-21T17:56:41.000Z,114.91954, 
2018-11-21T18:56:41.000Z,115.074242, 
2018-11-21T19:56:41.000Z,114.867012, 
2018-11-21T20:56:39.000Z,114.606224, 
2018-11-21T21:56:39.000Z,115.900047, 
2018-11-21T22:56:39.000Z,115.566093, 
2018-11-21T23:56:38.000Z,116.643097, 
2018-11-22T00:56:38.000Z,118.745491, 
2018-11-22T01:56:38.000Z,118.310608, 
2018-11-22T02:56:37.000Z,117.889435, 
2018-11-22T03:56:37.000Z,117.410072, 
2018-11-22T04:56:37.000Z,117.066856, 
2018-11-22T05:56:35.000Z,118.187187, 
2018-11-22T06:56:35.000Z,117.775787, 
2018-11-22T07:56:35.000Z,117.33754, 
2018-11-22T08:56:34.000Z,117.467697, 
2018-11-22T09:56:34.000Z,117.573906, 
2018-11-22T10:56:34.000Z,117.710526, 
2018-11-22T11:56:33.000Z,118.019386, 
2018-11-22T12:56:33.000Z,118.39209, 
2018-11-22T13:56:33.000Z,120.592247, 
2018-11-22T14:56:32.000Z,116.76696, 
2018-11-22T15:56:32.000Z,116.133751, 
2018-11-22T16:56:32.000Z,115.971268, 
2018-11-22T17:56:30.000Z,115.983421, 
2018-11-22T18:56:30.000Z,116.05027, 
2018-11-22T19:56:30.000Z,115.865578, 
2018-11-22T20:56:29.000Z,115.755791, 
2018-11-22T21:56:29.000Z,115.99482, 
2018-11-22T22:56:29.000Z,116.273758, 
2018-11-22T23:56:27.000Z,117.690292, 
2018-11-23T00:56:27.000Z,119.568771, 
2018-11-23T01:56:27.000Z,119.559921, 
2018-11-23T02:56:26.000Z,118.787552, 
2018-11-23T03:56:26.000Z,118.671059, 
2018-11-23T04:56:26.000Z,119.065704, 
2018-11-23T05:56:25.000Z,118.710266, 
2018-11-23T06:56:25.000Z,118.72419, 
2018-11-23T07:56:25.000Z,118.870056, 
2018-11-23T08:56:23.000Z,118.870102, 
2018-11-23T09:56:23.000Z,119.041306, 
2018-11-23T10:56:23.000Z,118.583618, 
2018-11-23T11:56:22.000Z,118.835136, 
2018-11-23T12:56:22.000Z,119.108849, 
2018-11-23T13:56:22.000Z,119.659279, 
2018-11-23T14:56:21.000Z,117.877953, 
2018-11-23T15:56:21.000Z,116.966011, 
2018-11-23T16:56:21.000Z,116.802223, 
2018-11-23T17:56:20.000Z,115.837029, 
2018-11-23T18:56:20.000Z,116.305069, 
2018-11-23T19:56:20.000Z,116.32209, 
2018-11-23T20:56:19.000Z,116.683624, 
2018-11-23T21:56:19.000Z,117.318954, 
2018-11-23T22:56:19.000Z,117.840706, 
2018-11-23T23:56:18.000Z,118.878914, 
2018-11-24T00:56:18.000Z,120.622742, 
2018-11-24T01:56:18.000Z,119.886909, 
2018-11-24T02:56:17.000Z,119.326241, 
2018-11-24T03:56:17.000Z,119.301514, 
2018-11-24T04:56:17.000Z,119.003113, 
2018-11-24T05:56:15.000Z,118.816742, 
2018-11-24T06:56:15.000Z,118.602242, 
2018-11-24T07:56:15.000Z,118.925293, 
2018-11-24T08:56:14.000Z,119.005135, 
2018-11-24T09:56:14.000Z,118.945274, 
2018-11-24T10:56:14.000Z,119.22699, 
2018-11-24T11:56:13.000Z,119.234901, 
2018-11-24T12:56:13.000Z,119.645111, 
2018-11-24T13:56:13.000Z,119.725487, 
2018-11-24T14:56:12.000Z,118.416145, 
2018-11-24T15:56:12.000Z,117.280548, 
2018-11-24T16:56:12.000Z,117.453285, 
2018-11-24T17:56:12.000Z,116.887589, 
2018-11-24T18:56:12.000Z,116.815842, 
2018-11-24T19:56:12.000Z,116.630852, 
2018-11-24T20:56:11.000Z,117.091209, 
